x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
16.4,10.4,12.8,15.8,13.7,10.5,4.0,3.5,3.3,4.6
11.0,8.5,10.5,11.4,9.8,9.2,2.7,2.5,2.1,3.6
5.6,6.3,6.3,7.0,6.4,7.0,2.0,1.9,1.5,2.5
1.3,1.2,0.9,2.4,2.0,2.1,0.8,0.7,0.7,0.7
