x1,x2,x3,x4,x5
-20.2,-8.9,-67.7,55.4,41.4
-13.3,-7.4,-70.5,59.9,31.2
-7.4,-1.8,-50.6,41.4,18.4
-0.6,0.4,-6.7,4.5,2.4
