x1,x2,x3,x4,x5
-112.7,35.2,43.8,35.7,-2.0
-30.8,19.1,8.7,1.9,1.1
-2.6,-7.7,8.2,-1.2,3.2
4.2,-12.0,-0.0,6.3,1.6
