x1,x2,x3
-1.9574714176986538,-1.228890716245585,-1.7394782256379684
-2.580962463671915,-1.530034110346625,-2.1990342653005905
-2.1867821942580887,-1.2083253248808974,-1.9654493501420418
-2.219100942519975,-1.3439508475034112,-1.722808248610525
-2.5521564505484875,-1.4791678231588383,0.0
